Name,Slug,Homepage,Short Description,Price Text,Pricing,Categories,Verified,Favorite Count,Updated At,text
Leonardo.AI,leonardoai,https://leonardo.ai/,Leverage generative AI with a unique suite of tools to convey your ideas to the world.,,Freemium,"image generator, image to image",True,1,2025-04-11,"Leonardo.AI — Leverage generative AI with a unique suite of tools to convey your ideas to the world. | image generator, image to image | Freemium | https://leonardo.ai/"
Sider,sider,https://sider.ai/,"Revolutionize web interaction with AI: read, write, and create seamlessly.",4.2/mo,Paid,"writing generators, workflows",True,0,2025-04-29,"Sider — Revolutionize web interaction with AI: read, write, and create seamlessly. | writing generators, workflows | Paid | https://sider.ai/"
Durable AI,durable,https://durable.ai/,Transform access to custom software using explainable AI for human-level reasoning & dialogue.,,Contact for Pricing,low-code/no-code,True,0,2024-07-20,Durable AI — Transform access to custom software using explainable AI for human-level reasoning & dialogue. | low-code/no-code | Contact for Pricing | https://durable.ai/
Moshi,moshi,https://moshi.chat/,"Moshi is a conversational AI tool developed by Kyutai that offers a unique, real-time interaction experience.",,Free,ai chatbots,True,1,2024-10-26,"Moshi — Moshi is a conversational AI tool developed by Kyutai that offers a unique, real-time interaction experience. | ai chatbots | Free | https://moshi.chat/"
Arya.ai,arya-ai,https://arya.ai/,Revolutionize banking and insurance with AI-driven efficiency and security.,,Contact for Pricing,"productivity, customer support",True,2,2025-02-20,"Arya.ai — Revolutionize banking and insurance with AI-driven efficiency and security. | productivity, customer support | Contact for Pricing | https://arya.ai/"
Saga,saga,https://writeonsaga.com/,"Your ultimate AI-powered filmmaking companion. Craft compelling plots, characters, and storyboards effortlessly with cutting-edge Generative AI.",19.99/mo,Paid,"general writing, story teller",True,3,2024-11-05,"Saga — Your ultimate AI-powered filmmaking companion. Craft compelling plots, characters, and storyboards effortlessly with cutting-edge Generative AI. | general writing, story teller | Paid | https://writeonsaga.com/"
MarsCode,marscode,https://marscode.com/,"Revolutionize coding: real-time assistance, error detection, code optimization.",,Free Trial,"low-code/no-code, code assistant, github",True,1,2025-02-20,"MarsCode — Revolutionize coding: real-time assistance, error detection, code optimization. | low-code/no-code, code assistant, github | Free Trial | https://marscode.com/"
FastBots,fastbots,https://fastbots.ai/,Create a fully automated AI chatbot like ChatGPT to help you or your customers get fast answers about your business with zero coding,16/mo,Freemium,"customer support, ai chatbots",True,4,2025-04-12,"FastBots — Create a fully automated AI chatbot like ChatGPT to help you or your customers get fast answers about your business with zero coding | customer support, ai chatbots | Freemium | https://fastbots.ai/"
DeepSeek,deepseek,https://www.deepseek.com/,"DeepSeek scales efficient language processing with open-source accessibility, delivering high-performance AI models optimized for cost and computational efficiency.",,Freemium,"research, ai chatbots",False,2,2025-04-11,"DeepSeek — DeepSeek scales efficient language processing with open-source accessibility, delivering high-performance AI models optimized for cost and computational efficiency. | research, ai chatbots | Freemium | https://www.deepseek.com/"
Hoory,hoory,https://producthunt.hoory.com/,"Transform customer support with AI, automating inquiries, and boosting efficiency globally.",6/mo,Free Trial,customer support,False,1,2025-04-11,"Hoory — Transform customer support with AI, automating inquiries, and boosting efficiency globally. | customer support | Free Trial | https://producthunt.hoory.com/"
Notion AI,notion-ai,https://www.notion.so/product/ai?pscd=affiliate.notion.so&ps_partner_key=dml2ZWt2YXJtYTc0OTA&ps_xid=bsTm4aECFFzc1G&gsxid=bsTm4aECFFzc1G&gspk=dml2ZWt2YXJtYTc0OTA,Enhance productivity with AI-driven content generation and analysis.,12/mo,Freemium,"general writing, productivity",True,3,2025-04-09,"Notion AI — Enhance productivity with AI-driven content generation and analysis. | general writing, productivity | Freemium | https://www.notion.so/product/ai?pscd=affiliate.notion.so&ps_partner_key=dml2ZWt2YXJtYTc0OTA&ps_xid=bsTm4aECFFzc1G&gsxid=bsTm4aECFFzc1G&gspk=dml2ZWt2YXJtYTc0OTA"
fast.ai,fast-ai,https://www.fast.ai/,"Non-profit research group focused on DL & AI, offering useful courses.",,Free,"education assistant, developer tools, resources",True,5,2025-04-09,"fast.ai — Non-profit research group focused on DL & AI, offering useful courses. | education assistant, developer tools, resources | Free | https://www.fast.ai/"
Copilot Voice,copilot-voice,https://githubnext.com/projects/copilot-voice/,"Voice-to-code tool helps you code without typing, using GitHub Copilot Voice.",,Free Trial,code assistant,False,3,2025-04-09,"Copilot Voice — Voice-to-code tool helps you code without typing, using GitHub Copilot Voice. | code assistant | Free Trial | https://githubnext.com/projects/copilot-voice/"
Kore.ai,kore-ai,https://kore.ai/,Enhance customer and employee experiences with advanced AI solutions.,0.01/request,"Free Trial, Freemium","customer support, ai chatbots",False,1,2025-03-17,"Kore.ai — Enhance customer and employee experiences with advanced AI solutions. | customer support, ai chatbots | Free Trial, Freemium | https://kore.ai/"
Geppetto,geppetto,https://geppettochat.com/,Enables users to pose inquiries and obtain immediate responses in Slack channels or via direct messages.,4.99/mo,Paid,"productivity, customer support",False,0,2023-09-12,"Geppetto — Enables users to pose inquiries and obtain immediate responses in Slack channels or via direct messages. | productivity, customer support | Paid | https://geppettochat.com/"
tl;dv,tl-dv,https://tldv.io/,"AI-driven tool for recording, transcribing, and summarizing meetings.",29/mo,Freemium,"summarizer, transcriber",False,1,2025-04-23,"tl;dv — AI-driven tool for recording, transcribing, and summarizing meetings. | summarizer, transcriber | Freemium | https://tldv.io/"
Monica,monica,https://monica.im/,Personal Al assistant for effortless chatting and copywriting.,6/mo,Freemium,"general writing, productivity",False,1,2023-07-28,"Monica — Personal Al assistant for effortless chatting and copywriting. | general writing, productivity | Freemium | https://monica.im/"
Quizgecko,quizgecko,https://quizgecko.com/,AI-powered platform for generating quizzes and study materials.,9.99/mo,Freemium,"social media assistant, education assistant",False,3,2025-04-09,"Quizgecko — AI-powered platform for generating quizzes and study materials. | social media assistant, education assistant | Freemium | https://quizgecko.com/"
Lumiere 3D,lumiere-3d,https://www.lumiere3d.ai/,Generate immersive 3D videos for e-commerce and marketing effortlessly.,29,Paid,"e-commerce, video generator",False,1,2023-07-28,"Lumiere 3D — Generate immersive 3D videos for e-commerce and marketing effortlessly. | e-commerce, video generator | Paid | https://www.lumiere3d.ai/"
Cody,cody,https://www.meetcody.ai/,AI assistant transforming business knowledge management with customizable integration.,29/mo,Free Trial,"human resources, ai chatbots",False,3,2025-04-09,"Cody — AI assistant transforming business knowledge management with customizable integration. | human resources, ai chatbots | Free Trial | https://www.meetcody.ai/"
Audioread.com,audioread,https://audioread.com/,"Listen to articles, PDFs, emails, YouTube in your podcast player",9.99/mo,Free Trial,productivity,False,2,2023-07-28,"Audioread.com — Listen to articles, PDFs, emails, YouTube in your podcast player | productivity | Free Trial | https://audioread.com/"
Cohesive,cohesive,https://cohesive.so/,The most powerful AI editor that amplifies your creativity and productivity.,[],Free Trial,copywriting,False,1,2023-07-28,Cohesive — The most powerful AI editor that amplifies your creativity and productivity. | copywriting | Free Trial | https://cohesive.so/
MagicForm AI,magicform,https://www.magicform.ai/,AI-driven tool for 24/7 lead qualification and conversion.,49/mo,Freemium,e-commerce,False,3,2025-04-09,MagicForm AI — AI-driven tool for 24/7 lead qualification and conversion. | e-commerce | Freemium | https://www.magicform.ai/
Adcreative.ai,adcreative-ai,https://www.adcreative.ai/?gspk=dml2ZWt2YXJtYTc0OTA&gsxid=pnwCbKgBUpfw&pscd=free-trial.adcreative.ai,Create conversion-focused ads & posts quickly & easily for better results.,29/mo,Free Trial,"social media assistant, copywriting",False,0,2024-01-12,"Adcreative.ai — Create conversion-focused ads & posts quickly & easily for better results. | social media assistant, copywriting | Free Trial | https://www.adcreative.ai/?gspk=dml2ZWt2YXJtYTc0OTA&gsxid=pnwCbKgBUpfw&pscd=free-trial.adcreative.ai"
Shuffll,shuffll,https://shuffll.com/,"AI-powered video production platform for fast, personalized content creation.",59/mo,Paid,"video generator, video editing, personalized videos",False,0,2025-04-17,"Shuffll — AI-powered video production platform for fast, personalized content creation. | video generator, video editing, personalized videos | Paid | https://shuffll.com/"
Andi,andisearch,https://andisearch.com/,Andi is a generative AI-powered search engine that provides direct answers instead of just links.,,Free,search engine,False,1,2023-09-08,Andi — Andi is a generative AI-powered search engine that provides direct answers instead of just links. | search engine | Free | https://andisearch.com/
Chatbase,chatbase,https://www.chatbase.co/,Build an AI chatbot trained on your data.,19/mo,Paid,"ai chatbots, marketing",False,3,2025-04-09,"Chatbase — Build an AI chatbot trained on your data. | ai chatbots, marketing | Paid | https://www.chatbase.co/"
Fliki,fliki,https://fliki.ai/,Transform text into captivating videos with lifelike AI voiceovers.,21/mo,Freemium,"video generator, text to speech",False,2,2025-04-17,"Fliki — Transform text into captivating videos with lifelike AI voiceovers. | video generator, text to speech | Freemium | https://fliki.ai/"
MarketingBlocks AI,marketingblocks-ai,https://questionreality--snapilabs.thrivecart.com/marketingblocks-bundle-unlimited/?ref=aitoolhouse.com,AI powered marketing assistant,57/mo,Freemium,"copywriting, design assistant",False,2,2024-06-04,"MarketingBlocks AI — AI powered marketing assistant | copywriting, design assistant | Freemium | https://questionreality--snapilabs.thrivecart.com/marketingblocks-bundle-unlimited/?ref=aitoolhouse.com"
Looka,looka,https://looka.com/?ps_partner_key=dml2ZWt2YXJtYTc0OTA&ps_xid=3gltwX9k0gL2uT&gsxid=3gltwX9k0gL2uT&gspk=dml2ZWt2YXJtYTc0O,"AI-driven branding: logos, websites, and full identity kits.",20,"Freemium, Deals",logo generator,False,4,2025-04-09,"Looka — AI-driven branding: logos, websites, and full identity kits. | logo generator | Freemium, Deals | https://looka.com/?ps_partner_key=dml2ZWt2YXJtYTc0OTA&ps_xid=3gltwX9k0gL2uT&gsxid=3gltwX9k0gL2uT&gspk=dml2ZWt2YXJtYTc0O"
BrandBastion Lite,brandbastion-lite,https://www.brandbastion.com/lite,Easily monitor and manage all your social media conversations,74/mo,Free Trial,"social media assistant, customer support",False,0,2023-07-28,"BrandBastion Lite — Easily monitor and manage all your social media conversations | social media assistant, customer support | Free Trial | https://www.brandbastion.com/lite"
GitMind AI,gitmind-ai,https://gitmind.com/,Boost Your Mind Mapping Speed with GitMind's AI-Powered Tool,9/mo.,Free Trial,productivity,False,1,2023-07-28,GitMind AI — Boost Your Mind Mapping Speed with GitMind's AI-Powered Tool | productivity | Free Trial | https://gitmind.com/
AssemblyAI,assemblyai,https://assemblyai.com/,"Transcribe and understand audio with AI models: ASR, NLP, Speech-to-Text.",0.00025/second,Paid,"transcriber, developer tools",False,0,2023-07-28,"AssemblyAI — Transcribe and understand audio with AI models: ASR, NLP, Speech-to-Text. | transcriber, developer tools | Paid | https://assemblyai.com/"
GPTGO,gptgo,https://chrome.google.com/webstore/detail/gptgo-chatgpt-from-any-ta/oeekolihnpojdigebjbhnkhbepjdoidi,ChatGPT from any tab,,Free,"productivity, search engine, life assistant",False,2,2023-07-28,"GPTGO — ChatGPT from any tab | productivity, search engine, life assistant | Free | https://chrome.google.com/webstore/detail/gptgo-chatgpt-from-any-ta/oeekolihnpojdigebjbhnkhbepjdoidi"
Imgcreator,imgcreator,https://imgcreator.zmo.ai/,Best AI Anime Generator and Photo Background Generator.,9.99/mo,Freemium,e-commerce,False,1,2023-07-28,Imgcreator — Best AI Anime Generator and Photo Background Generator. | e-commerce | Freemium | https://imgcreator.zmo.ai/
IngestAI,ingestai,https://ingestai.io/,"All-in-One app w/ ChatGPT, GPT4, Co:here, DALL-E, StabilityAI, & more.",20/mo,Freemium,productivity,False,1,2023-07-28,"IngestAI — All-in-One app w/ ChatGPT, GPT4, Co:here, DALL-E, StabilityAI, & more. | productivity | Freemium | https://ingestai.io/"
Synthesys Studio,synthesys-io,https://synthesys.io,"AI-driven platform for creating videos, voiceovers, and images.",27/mo.,Paid,"video generator, text to speech",False,0,2025-07-22,"Synthesys Studio — AI-driven platform for creating videos, voiceovers, and images. | video generator, text to speech | Paid | https://synthesys.io"
Luna Ai,luna-ai,https://www.lunaa.io/,Create better Linkedin content 10x Faster with Ai,,Free Trial,social media assistant,False,1,2024-06-04,Luna Ai — Create better Linkedin content 10x Faster with Ai | social media assistant | Free Trial | https://www.lunaa.io/
STORYD,storyd,https://www.storyd.ai/,A tool for data presentations,18/mo,Freemium,"story teller, presentations",False,2,2023-07-28,"STORYD — A tool for data presentations | story teller, presentations | Freemium | https://www.storyd.ai/"
Magical,magical,https://magical.so/,Magical is the first GPT-powered calendar that takes meeting notes for you.,15/mo,Freemium,"summarizer, productivity",False,1,2023-07-28,"Magical — Magical is the first GPT-powered calendar that takes meeting notes for you. | summarizer, productivity | Freemium | https://magical.so/"
Roast Dating,roast-dating,https://roast.dating/quiz/1?aff=aitoolhouse.com,"Use AI to optimize your dating profile, and get up to 10X more matches",,Freemium,,False,1,2024-01-13,"Roast Dating — Use AI to optimize your dating profile, and get up to 10X more matches |  | Freemium | https://roast.dating/quiz/1?aff=aitoolhouse.com"
Vondy AI,vondy-ai,https://www.vondy.com,AI creativity assistant,,Free Trial,productivity,False,0,2023-07-28,Vondy AI — AI creativity assistant | productivity | Free Trial | https://www.vondy.com
Superflows,superflows,https://www.superflows.ai/,AI email assistant that helps you get through your inbox faster,,Freemium,email assistant,False,1,2023-07-28,Superflows — AI email assistant that helps you get through your inbox faster | email assistant | Freemium | https://www.superflows.ai/
StockImg AI,stockimg,https://stockimg.ai/,"AI-powered design service for logos, images, posters, book covers, and more.",19/mo,"Free Trial, Freemium","image generator, design assistant",False,1,2023-07-28,"StockImg AI — AI-powered design service for logos, images, posters, book covers, and more. | image generator, design assistant | Free Trial, Freemium | https://stockimg.ai/"
Audyo,audyo,https://www.audyo.ai/,Create audio like writing a doc,10/mo.,Freemium,"text to speech, audio editing",False,0,2023-08-20,"Audyo — Create audio like writing a doc | text to speech, audio editing | Freemium | https://www.audyo.ai/"
Upword,upword,https://www.upword.ai/,Create summaries faster with Upword's AI tools.,,"Free Trial, Freemium",summarizer,False,0,2023-07-28,"Upword — Create summaries faster with Upword's AI tools. | summarizer | Free Trial, Freemium | https://www.upword.ai/"
Voxwave AI,voxwave-ai,https://www.voxwaveai.com/,AI-personalized lead gen. Puts your voice into your emails. Works with any mailer.,,Contact for Pricing,"text to speech, email assistant",False,1,2023-07-28,"Voxwave AI — AI-personalized lead gen. Puts your voice into your emails. Works with any mailer. | text to speech, email assistant | Contact for Pricing | https://www.voxwaveai.com/"
Piggy Magic,piggy-magic-social-story-maker,https://piggy.to/magic?magic_intent=quiz,Piggy Magic - Social Story Maker,,Free,"social media assistant, fun tools",False,0,2023-07-28,"Piggy Magic — Piggy Magic - Social Story Maker | social media assistant, fun tools | Free | https://piggy.to/magic?magic_intent=quiz"
AI Studios,ai-studios,https://www.deepbrain.io/aistudios,Generate studio-quality videos with AI avatars and voiceovers in 80+ languages as easy as just typing in text.,24/mo,Freemium,video generator,False,0,2025-04-17,AI Studios — Generate studio-quality videos with AI avatars and voiceovers in 80+ languages as easy as just typing in text. | video generator | Freemium | https://www.deepbrain.io/aistudios
Stable Diffusion,stable-diffusion,https://stability.ai/,A model for generating professional-grade images. Generate stunning images from text.,,Freemium,"image generator, developer tools",False,2,2025-04-17,"Stable Diffusion — A model for generating professional-grade images. Generate stunning images from text. | image generator, developer tools | Freemium | https://stability.ai/"
Midjourney,midjourney,https://www.midjourney.com/home/,AI lab exploring new mediums to expand human imagination.,10/mo,Free Trial,"art, image generators, image to image",False,1,2025-04-17,"Midjourney — AI lab exploring new mediums to expand human imagination. | art, image generators, image to image | Free Trial | https://www.midjourney.com/home/"
REimagine Home,reimagine-home,https://www.reimaginehome.ai/,Generative AI to redesign any room in seconds,,Free,real estate,False,1,2023-07-28,REimagine Home — Generative AI to redesign any room in seconds | real estate | Free | https://www.reimaginehome.ai/
GPT3 Playground,gpt3-playground,https://platform.openai.com/playground,OpenAI's GPT3 Playground,0.0004 / 1K tokens,Free Trial,"general writing, productivity",False,0,2023-07-28,"GPT3 Playground — OpenAI's GPT3 Playground | general writing, productivity | Free Trial | https://platform.openai.com/playground"
Descript,descript,https://www.descript.com?lmref=wVa-qw,"Generate your own voice using AI. Revolutionize content creation with intuitive editing,",12/mo,Freemium,text to speech,False,0,2024-06-06,"Descript — Generate your own voice using AI. Revolutionize content creation with intuitive editing, | text to speech | Freemium | https://www.descript.com?lmref=wVa-qw"
Mubert,mubert,https://mubert.com/,"Royalty-free music ecosystem for content creators, brands & developers.",,Freemium,text to speech,False,0,2023-07-28,"Mubert — Royalty-free music ecosystem for content creators, brands & developers. | text to speech | Freemium | https://mubert.com/"
HoppyCopy,hoppycopy,https://www.hoppycopy.co/,Create high-converting emails quickly with AI-generated copy.,29/mo.,Free Trial,email assistant,False,0,2023-07-28,HoppyCopy — Create high-converting emails quickly with AI-generated copy. | email assistant | Free Trial | https://www.hoppycopy.co/
Synthesia,synthesia,https://www.synthesia.io/,"Create AI videos from text. Easy, cheap, scalable. Human presenters. Free demo.",30/mo,Paid,video generator,False,0,2024-07-23,"Synthesia — Create AI videos from text. Easy, cheap, scalable. Human presenters. Free demo. | video generator | Paid | https://www.synthesia.io/"
Predict AI,predict-ai,https://www.neuronsinc.com/predict,Predicts customer responses on creative assets,,Paid,"social media assistant, design assistant",False,1,2023-07-28,"Predict AI — Predicts customer responses on creative assets | social media assistant, design assistant | Paid | https://www.neuronsinc.com/predict"
Rytr,rytr,https://rytr.me/,"AI writing assistant for fast, affordable, high-quality content.",9/mo,Freemium,"copywriting, email assistant",False,0,2024-06-06,"Rytr — AI writing assistant for fast, affordable, high-quality content. | copywriting, email assistant | Freemium | https://rytr.me/"
Yaara,yaara,https://yaara.ai/,Generate creative content from a given prompt,8/mo,"Freemium, Deals",copywriting,False,0,2023-07-28,"Yaara — Generate creative content from a given prompt | copywriting | Freemium, Deals | https://yaara.ai/"
Dream Interpreter,dream-interpreter,https://dreaminterpreter.ai/,Dream interpreter using GPT-3,,Free,"life assistant, fun tools",False,0,2023-07-28,"Dream Interpreter — Dream interpreter using GPT-3 | life assistant, fun tools | Free | https://dreaminterpreter.ai/"
Magic Studio,magic-eraser,https://magicstudio.com/,Create stunning visuals in seconds,3/mo,Freemium,image editing,False,0,2023-07-28,Magic Studio — Create stunning visuals in seconds | image editing | Freemium | https://magicstudio.com/
Morise.ai,moriseai,https://morise.ai,AI-powered tools for youtube growth.,29/mo,Paid,social media assistant,False,1,2023-07-28,Morise.ai — AI-powered tools for youtube growth. | social media assistant | Paid | https://morise.ai
Namelix,namelix,https://namelix.com/,"Generate short, brandable business names & domain names.",,Free,startup tools,False,1,2023-07-28,"Namelix — Generate short, brandable business names & domain names. | startup tools | Free | https://namelix.com/"
Copy.ai,copyai,https://www.copy.ai,"AI-powered copywriter for marketing: get started free, no credit card needed!",49/mo,Freemium,copywriting,False,0,2023-07-28,"Copy.ai — AI-powered copywriter for marketing: get started free, no credit card needed! | copywriting | Freemium | https://www.copy.ai"
Profile Picture AI,profile-picture-ai,https://www.profilepicture.ai,"Create perfect profile pic with AI - be anything, anywhere, anyone!",5.8,Paid,avatars,False,0,2023-07-28,"Profile Picture AI — Create perfect profile pic with AI - be anything, anywhere, anyone! | avatars | Paid | https://www.profilepicture.ai"
Writesonic,writesonic,https://writesonic.com,"Create SEO-friendly content with AI for blogs, websites, and articles.",12.67/mo,Freemium,"copywriting, SEO",False,0,2023-07-28,"Writesonic — Create SEO-friendly content with AI for blogs, websites, and articles. | copywriting, SEO | Freemium | https://writesonic.com"
Easy-Peasy.AI,easy-peasyai,https://easy-peasy.ai/,AI copywriting tools to help you tell your story in the most engaging way.,3.99/mo,"Freemium, Deals","transcriber, copywriting, art",False,0,2023-07-28,"Easy-Peasy.AI — AI copywriting tools to help you tell your story in the most engaging way. | transcriber, copywriting, art | Freemium, Deals | https://easy-peasy.ai/"
Munch,munch,https://www.getmunch.com/,Create short clips from long-form videos to maximize social media exposure,49/mo,Free Trial,"social media assistant, video editing",False,0,2023-07-28,"Munch — Create short clips from long-form videos to maximize social media exposure | social media assistant, video editing | Free Trial | https://www.getmunch.com/"
